horizon,model,date,equity
t+1,mohamed_v3,2022-09-07,9169.256809768283
t+1,mohamed_v3,2022-09-08,9164.6721813634
t+1,mohamed_v3,2022-09-09,9164.6721813634
t+1,mohamed_v3,2022-09-12,9268.964350011584
t+1,mohamed_v3,2022-09-13,8760.684261730721
t+1,mohamed_v3,2022-09-14,8830.184688248632
t+1,mohamed_v3,2022-09-15,8825.769595904509
t+1,mohamed_v3,2022-09-16,8767.41647065187
t+1,mohamed_v3,2022-09-19,8819.840978299433
t+1,mohamed_v3,2022-09-20,8749.53750080769
t+1,mohamed_v3,2022-09-21,8592.867867556793
t+1,mohamed_v3,2022-09-22,8487.108853485208
t+1,mohamed_v3,2022-09-23,8348.92484858401
t+1,mohamed_v3,2022-09-26,8314.37838291113
t+1,mohamed_v3,2022-09-27,8317.712251650042
t+1,mohamed_v3,2022-09-28,8483.169249961133
t+1,mohamed_v3,2022-09-29,8238.619569935348
t+1,mohamed_v3,2022-09-30,8098.9207514942245
t+1,mohamed_v3,2022-10-03,8288.923535298776
t+1,mohamed_v3,2022-10-04,8549.53406180434
t+1,mohamed_v3,2022-10-05,8544.988717672255
t+1,mohamed_v3,2022-10-06,8477.71485217157
t+1,mohamed_v3,2022-10-07,8154.679140586145
t+1,mohamed_v3,2022-10-10,8073.16257765735
t+1,mohamed_v3,2022-10-11,7962.251561750154
t+1,mohamed_v3,2022-10-12,7959.524355349372
t+1,mohamed_v3,2022-10-13,8146.194194977163
t+1,mohamed_v3,2022-10-14,7901.341183476647
t+1,mohamed_v3,2022-10-17,8162.255014941712
t+1,mohamed_v3,2022-10-18,8226.801676483581
t+1,mohamed_v3,2022-10-19,8196.800556797141
t+1,mohamed_v3,2022-10-20,8154.9815436473045
t+1,mohamed_v3,2022-10-21,8150.904052875481
t+1,mohamed_v3,2022-10-24,8150.904052875481
t+1,mohamed_v3,2022-10-25,8150.904052875481
t+1,mohamed_v3,2022-10-26,8150.904052875481
t+1,mohamed_v3,2022-10-27,8150.904052875481
t+1,mohamed_v3,2022-10-28,8150.904052875481
t+1,mohamed_v3,2022-10-31,8150.904052875481
t+1,mohamed_v3,2022-11-01,8150.904052875481
t+1,mohamed_v3,2022-11-02,8150.904052875481
t+1,mohamed_v3,2022-11-03,8150.904052875481
t+1,mohamed_v3,2022-11-04,8277.870997177335
t+1,mohamed_v3,2022-11-07,8368.88140624716
t+1,mohamed_v3,2022-11-08,8364.696965544035
t+1,mohamed_v3,2022-11-09,8167.584409951956
t+1,mohamed_v3,2022-11-10,8770.258344691936
t+1,mohamed_v3,2022-11-11,8765.87321551959
t+1,mohamed_v3,2022-11-14,8765.87321551959
t+1,mohamed_v3,2022-11-15,8765.87321551959
t+1,mohamed_v3,2022-11-16,8765.87321551959
t+1,mohamed_v3,2022-11-17,8765.87321551959
t+1,mohamed_v3,2022-11-18,8765.87321551959
t+1,mohamed_v3,2022-11-21,8671.35931186559
t+1,mohamed_v3,2022-11-22,8667.023632209657
t+1,mohamed_v3,2022-11-23,8667.023632209657
t+1,mohamed_v3,2022-11-25,8667.023632209657
t+1,mohamed_v3,2022-11-28,8535.581119195036
t+1,mohamed_v3,2022-11-29,8470.970709896203
t+1,mohamed_v3,2022-11-30,8857.125771015957
t+1,mohamed_v3,2022-12-01,8867.995371113977
t+1,mohamed_v3,2022-12-02,8832.67032317821
t+1,mohamed_v3,2022-12-05,8684.428401017605
t+1,mohamed_v3,2022-12-06,8504.483393569066
t+1,mohamed_v3,2022-12-07,8469.762774790805
t+1,mohamed_v3,2022-12-08,8570.000449256406
t+1,mohamed_v3,2022-12-09,8515.352997281043
t+1,mohamed_v3,2022-12-12,8622.232026863187
t+1,mohamed_v3,2022-12-13,8714.92169882642
t+1,mohamed_v3,2022-12-14,8650.311289387231
t+1,mohamed_v3,2022-12-15,8359.864373026654
t+1,mohamed_v3,2022-12-16,8280.157039224543
t+1,mohamed_v3,2022-12-19,8144.293028794451
t+1,mohamed_v3,2022-12-20,8137.952966013483
t+1,mohamed_v3,2022-12-21,8256.00381021367
t+1,mohamed_v3,2022-12-22,8054.019229343346
t+1,mohamed_v3,2022-12-23,8072.133694739631
t+1,mohamed_v3,2022-12-27,7958.007958358478
t+1,mohamed_v3,2022-12-28,7852.940375210644
t+1,mohamed_v3,2022-12-29,8044.357574358765
t+1,mohamed_v3,2022-12-30,8039.52674305454
t+1,mohamed_v3,2023-01-03,7985.181505692288
t+1,mohamed_v3,2023-01-04,8023.222802183711
t+1,mohamed_v3,2023-01-05,7897.623958610211
t+1,mohamed_v3,2023-01-06,8115.610263409953
t+1,mohamed_v3,2023-01-09,8168.144975687035
t+1,mohamed_v3,2023-01-10,8237.283997920138
t+1,mohamed_v3,2023-01-11,8379.790287976848
t+1,mohamed_v3,2023-01-12,8375.600392832861
t+1,mohamed_v3,2023-01-13,8375.600392832861
t+1,mohamed_v3,2023-01-17,8375.600392832861
t+1,mohamed_v3,2023-01-18,8375.600392832861
t+1,mohamed_v3,2023-01-19,8375.600392832861
t+1,mohamed_v3,2023-01-20,8375.600392832861
t+1,mohamed_v3,2023-01-23,8375.600392832861
t+1,mohamed_v3,2023-01-24,8375.600392832861
t+1,mohamed_v3,2023-01-25,8375.600392832861
t+1,mohamed_v3,2023-01-26,8375.600392832861
t+1,mohamed_v3,2023-01-27,8375.600392832861
t+1,mohamed_v3,2023-01-30,8202.152700587743
t+1,mohamed_v3,2023-01-31,8325.070726428714
t+1,mohamed_v3,2023-02-01,8503.090199671375
t+1,mohamed_v3,2023-02-02,8808.265203656161
t+1,mohamed_v3,2023-02-03,8651.72129937615
t+1,mohamed_v3,2023-02-06,8578.535833653097
t+1,mohamed_v3,2023-02-07,8574.246565736272
t+1,mohamed_v3,2023-02-08,8574.246565736272
t+1,mohamed_v3,2023-02-09,8574.246565736272
t+1,mohamed_v3,2023-02-10,8574.246565736272
t+1,mohamed_v3,2023-02-13,8574.246565736272
t+1,mohamed_v3,2023-02-14,8574.246565736272
t+1,mohamed_v3,2023-02-15,8574.246565736272
t+1,mohamed_v3,2023-02-16,8574.246565736272
t+1,mohamed_v3,2023-02-17,8574.246565736272
t+1,mohamed_v3,2023-02-21,8574.246565736272
t+1,mohamed_v3,2023-02-22,8576.371718504835
t+1,mohamed_v3,2023-02-23,8651.278563080472
t+1,mohamed_v3,2023-02-24,8506.42017786507
t+1,mohamed_v3,2023-02-27,8567.33635443868
t+1,mohamed_v3,2023-02-28,8556.260524381163
t+1,mohamed_v3,2023-03-01,8487.475100686159
t+1,mohamed_v3,2023-03-02,8557.717497300093
t+1,mohamed_v3,2023-03-03,8734.637258459758
t+1,mohamed_v3,2023-03-06,8744.546978169785
t+1,mohamed_v3,2023-03-07,8637.287897742597
t+1,mohamed_v3,2023-03-08,8680.425110388709
t+1,mohamed_v3,2023-03-09,8530.028815491498
t+1,mohamed_v3,2023-03-10,8410.236039508265
t+1,mohamed_v3,2023-03-13,8472.610079358608
t+1,mohamed_v3,2023-03-14,8667.308803748469
t+1,mohamed_v3,2023-03-15,8712.77734745029
t+1,mohamed_v3,2023-03-16,8942.452288920082
t+1,mohamed_v3,2023-03-17,8900.18943790024
t+1,mohamed_v3,2023-03-20,8917.969294187895
t+1,mohamed_v3,2023-03-21,9045.33956272524
t+1,mohamed_v3,2023-03-22,8922.341097039109
t+1,mohamed_v3,2023-03-23,9028.143210355229
t+1,mohamed_v3,2023-03-24,9061.370702593573
t+1,mohamed_v3,2023-03-27,8999.288414160228
t+1,mohamed_v3,2023-03-28,8951.48764775432
t+1,mohamed_v3,2023-03-29,9114.708486461343
t+1,mohamed_v3,2023-03-30,9200.982017454055
t+1,mohamed_v3,2023-03-31,9354.001387621585
t+1,mohamed_v3,2023-04-03,9331.267116689696
t+1,mohamed_v3,2023-04-04,9299.789236755532
t+1,mohamed_v3,2023-04-05,9207.977787750871
t+1,mohamed_v3,2023-04-06,9270.059188494244
t+1,mohamed_v3,2023-04-10,9264.813023485849
t+1,mohamed_v3,2023-04-11,9205.353817946274
t+1,mohamed_v3,2023-04-12,9124.035593608392
t+1,mohamed_v3,2023-04-13,9302.70406973399
t+1,mohamed_v3,2023-04-14,9285.2159629641
t+1,mohamed_v3,2023-04-17,9293.085210444126
t+1,mohamed_v3,2023-04-18,9293.667821205716
t+1,mohamed_v3,2023-04-19,9289.29601682108
t+1,mohamed_v3,2023-04-20,9218.4701170636
t+1,mohamed_v3,2023-04-21,9228.08808631656
t+1,mohamed_v3,2023-04-24,9208.852148149377
t+1,mohamed_v3,2023-04-25,9035.138074518789
t+1,mohamed_v3,2023-04-26,9089.933728501472
t+1,mohamed_v3,2023-04-27,9337.09677947735
t+1,mohamed_v3,2023-04-28,9401.510402753705
t+1,mohamed_v3,2023-05-01,9390.726321962191
t+1,mohamed_v3,2023-05-02,9308.824597870367
t+1,mohamed_v3,2023-05-03,9247.90842125659
t+1,mohamed_v3,2023-05-04,9215.264429692877
t+1,mohamed_v3,2023-05-05,9411.129275405598
t+1,mohamed_v3,2023-05-08,9434.44615788649
t+1,mohamed_v3,2023-05-09,9374.696092354001
t+1,mohamed_v3,2023-05-10,9476.70900739409
t+1,mohamed_v3,2023-05-11,9507.604276021058
t+1,mohamed_v3,2023-05-12,9473.502424684013
t+1,mohamed_v3,2023-05-15,9524.800633222827
t+1,mohamed_v3,2023-05-16,9535.584713464457
t+1,mohamed_v3,2023-05-17,9651.004798130081
t+1,mohamed_v3,2023-05-18,9830.255886263918
t+1,mohamed_v3,2023-05-19,9808.10511389223
t+1,mohamed_v3,2023-05-22,9841.040856053209
t+1,mohamed_v3,2023-05-23,9716.292773464622
t+1,mohamed_v3,2023-05-24,9666.452426986938
t+1,mohamed_v3,2023-05-25,9901.665279393914
t+1,mohamed_v3,2023-05-26,10154.657109784579
t+1,mohamed_v3,2023-05-30,10200.709154346507
t+1,mohamed_v3,2023-05-31,10142.706919936001
t+1,mohamed_v3,2023-06-01,10259.876608053683
t+1,mohamed_v3,2023-06-02,10254.746669749657
t+1,mohamed_v3,2023-06-05,10254.746669749657
t+1,mohamed_v3,2023-06-06,10254.746669749657
t+1,mohamed_v3,2023-06-07,10254.746669749657
t+1,mohamed_v3,2023-06-08,10254.746669749657
t+1,mohamed_v3,2023-06-09,10254.746669749657
t+1,mohamed_v3,2023-06-12,10254.746669749657
t+1,mohamed_v3,2023-06-13,10254.746669749657
t+1,mohamed_v3,2023-06-14,10254.746669749657
t+1,mohamed_v3,2023-06-15,10254.746669749657
t+1,mohamed_v3,2023-06-16,10254.746669749657
t+1,mohamed_v3,2023-06-20,10254.746669749657
t+1,mohamed_v3,2023-06-21,10254.746669749657
t+1,mohamed_v3,2023-06-22,10254.746669749657
t+1,mohamed_v3,2023-06-23,10254.746669749657
t+1,mohamed_v3,2023-06-26,10254.746669749657
t+1,mohamed_v3,2023-06-27,10254.746669749657
t+1,mohamed_v3,2023-06-28,10254.746669749657
t+1,mohamed_v3,2023-06-29,10254.746669749657
t+1,mohamed_v3,2023-06-30,10254.746669749657
t+1,mohamed_v3,2023-07-03,10254.746669749657
t+1,mohamed_v3,2023-07-05,10254.746669749657
t+1,mohamed_v3,2023-07-06,10254.746669749657
t+1,mohamed_v3,2023-07-07,10254.746669749657
t+1,mohamed_v3,2023-07-10,10252.977488637822
t+1,mohamed_v3,2023-07-11,10303.63306890605
t+1,mohamed_v3,2023-07-12,10433.76814421105
t+1,mohamed_v3,2023-07-13,10610.9196105972
t+1,mohamed_v3,2023-07-14,10608.681100548542
t+1,mohamed_v3,2023-07-17,10707.751187624273
t+1,mohamed_v3,2023-07-18,10795.347731356374
t+1,mohamed_v3,2023-07-19,10789.950057490696
t+1,mohamed_v3,2023-07-20,10789.950057490696
t+1,mohamed_v3,2023-07-21,10789.950057490696
t+1,mohamed_v3,2023-07-24,10789.950057490696
t+1,mohamed_v3,2023-07-25,10857.649953552924
t+1,mohamed_v3,2023-07-26,10821.532035865535
t+1,mohamed_v3,2023-07-27,10795.733896631997
t+1,mohamed_v3,2023-07-28,10992.374818105864
t+1,mohamed_v3,2023-07-31,10998.107251497118
t+1,mohamed_v3,2023-08-01,10972.596042274536
t+1,mohamed_v3,2023-08-02,10731.811970046047
t+1,mohamed_v3,2023-08-03,10714.612919784038
t+1,mohamed_v3,2023-08-04,10664.449534116895
t+1,mohamed_v3,2023-08-07,10754.743451609324
t+1,mohamed_v3,2023-08-08,10663.30269633496
t+1,mohamed_v3,2023-08-09,10546.063798136513
t+1,mohamed_v3,2023-08-10,10565.555646971281
t+1,mohamed_v3,2023-08-11,10498.193210183814
t+1,mohamed_v3,2023-08-14,10616.005960724575
t+1,mohamed_v3,2023-08-15,10503.353534886897
t+1,mohamed_v3,2023-08-16,10392.134005329839
t+1,mohamed_v3,2023-08-17,10278.620802470725
t+1,mohamed_v3,2023-08-18,10265.72217070209
t+1,mohamed_v3,2023-08-21,10431.117709089345
t+1,mohamed_v3,2023-08-22,10416.212332275261
t+1,mohamed_v3,2023-08-23,10580.46103656292
t+1,mohamed_v3,2023-08-24,10575.170806044638
t+1,mohamed_v3,2023-08-25,10651.815407112641
t+1,mohamed_v3,2023-08-28,10731.992859640699
t+1,mohamed_v3,2023-08-29,10966.377850209987
t+1,mohamed_v3,2023-08-30,11027.534534390543
t+1,mohamed_v3,2023-08-31,11022.020767123347
t+1,mohamed_v3,2023-09-01,11004.851943483347
t+1,mohamed_v3,2023-09-05,11018.8418533812
t+1,mohamed_v3,2023-09-06,11013.33243245451
t+1,mohamed_v3,2023-09-07,10929.1021382698
t+1,mohamed_v3,2023-09-08,10944.376592146464
t+1,mohamed_v3,2023-09-11,11073.33137942186
t+1,mohamed_v3,2023-09-12,10950.545891368401
t+1,mohamed_v3,2023-09-13,10992.25727680903
t+1,mohamed_v3,2023-09-14,11082.143381649588
t+1,mohamed_v3,2023-09-15,10892.383915377492
t+1,mohamed_v3,2023-09-18,10887.977909364396
t+1,mohamed_v3,2023-09-19,10864.77174805071
t+1,mohamed_v3,2023-09-20,10708.205688928461
t+1,mohamed_v3,2023-09-21,10511.982895080882
t+1,mohamed_v3,2023-09-22,10513.452161467525
t+1,mohamed_v3,2023-09-25,10563.388389468026
t+1,mohamed_v3,2023-09-26,10404.765895427508
t+1,mohamed_v3,2023-09-27,10429.147289198609
t+1,mohamed_v3,2023-09-28,10516.389793271252
t+1,mohamed_v3,2023-09-29,10511.131598374617
t+1,mohamed_v3,2023-10-02,10593.555126276786
t+1,mohamed_v3,2023-10-03,10407.641657429038
t+1,mohamed_v3,2023-10-04,10549.275739245588
t+1,mohamed_v3,2023-10-05,10544.001101375965
t+1,mohamed_v3,2023-10-06,10544.001101375965
t+1,mohamed_v3,2023-10-09,10592.477062851956
t+1,mohamed_v3,2023-10-10,10587.18082432053
t+1,mohamed_v3,2023-10-11,10587.18082432053
t+1,mohamed_v3,2023-10-12,10587.18082432053
t+1,mohamed_v3,2023-10-13,10587.18082432053
t+1,mohamed_v3,2023-10-16,10701.530376773553
t+1,mohamed_v3,2023-10-17,10696.179611585167
t+1,mohamed_v3,2023-10-18,10696.179611585167
t+1,mohamed_v3,2023-10-19,10696.179611585167
t+1,mohamed_v3,2023-10-20,10696.179611585167
t+1,mohamed_v3,2023-10-23,10696.179611585167
t+1,mohamed_v3,2023-10-24,10696.179611585167
t+1,mohamed_v3,2023-10-25,10429.164430880344
t+1,mohamed_v3,2023-10-26,10230.309759266484
t+1,mohamed_v3,2023-10-27,10279.427925072712
t+1,mohamed_v3,2023-10-30,10395.228584784016
